Wall time,Step,Value
1700619686.7534235,19,0.3400000035762787
1700619700.4444525,48,0.3700000047683716
1700619705.646468,63,0.3100000023841858
1700619705.997576,64,0.49000000953674316
1700619708.7205143,72,0.3499999940395355
1700619717.9449728,90,0.3499999940395355
1700619722.7065384,104,0.6899999976158142
1700619724.0587456,108,0.5400000214576721
1700619733.1283553,129,0.6499999761581421
1700619744.0215256,158,0.4399999976158142
1700619745.033362,161,0.6800000071525574
1700619746.538669,165,0.4300000071525574
1700619750.8915622,173,0.5600000023841858
1700619758.60763,192,0.6600000262260437
1700619762.8784888,204,0.550000011920929
1700619774.8365114,230,0.550000011920929
1700619780.1516485,245,0.4399999976158142
1700619780.4908426,246,0.3700000047683716
1700619786.3659003,260,0.6700000166893005
1700619796.1700509,283,0.4099999964237213
1700619797.156957,286,0.5799999833106995
1700619810.638695,317,0.7200000286102295
1700619811.6388352,320,0.75
1700619820.66714,347,0.6000000238418579
1700619827.0635893,359,0.6899999976158142
1700619830.3369544,367,0.6800000071525574
1700619834.2641857,379,0.7200000286102295
1700619836.9701612,387,0.5299999713897705
1700619844.3132508,403,0.5400000214576721
1700619849.5852666,416,0.44999998807907104
1700619856.5359614,437,0.699999988079071
1700619856.892668,438,0.6299999952316284
1700619861.5762913,447,0.7400000095367432
1700619868.1992154,462,0.75
1700619869.4922388,466,0.5199999809265137
1700619872.7752151,476,0.7599999904632568
1700619874.7587445,482,0.6499999761581421
1700619887.484811,511,0.7599999904632568
1700619895.7029688,534,0.6899999976158142
1700619898.359736,539,0.6200000047683716
1700619899.4213731,541,0.7599999904632568
1700619905.8268943,557,0.75
1700619907.806375,563,0.6000000238418579
1700619920.0727017,591,0.6800000071525574
1700619921.6412659,595,0.6899999976158142
1700619922.3039331,597,0.7599999904632568
1700619938.8526042,638,0.6600000262260437
1700619940.9797459,644,0.6899999976158142
1700619941.3195004,645,0.7599999904632568
1700619945.923313,659,0.5699999928474426
1700619948.799293,668,0.6399999856948853
1700619952.6256468,676,0.6000000238418579
1700619970.784022,722,0.7200000286102295
1700619972.8860688,726,0.7599999904632568
1700619987.5055988,765,0.6499999761581421
1700619993.2801707,776,0.5400000214576721
1700619995.8015716,783,0.7400000095367432
1700619997.7814298,789,0.7699999809265137
1700620003.0122004,805,0.6100000143051147
1700620015.4365792,833,0.5600000023841858
1700620024.4143538,858,0.8199999928474426
1700620029.2518647,867,0.7599999904632568
1700620036.4433236,887,0.7200000286102295
1700620058.1953592,943,0.6200000047683716
1700620081.093389,1000,0.6499999761581421
1700620088.5594478,1005,0.800000011920929
1700620092.1659207,1016,0.5699999928474426
1700620094.5485325,1023,0.6899999976158142
1700620095.8659961,1027,0.7400000095367432
1700620096.702431,1029,0.8199999928474426
1700620101.390582,1038,0.699999988079071
1700620108.7373724,1057,0.6899999976158142
1700620113.6759412,1072,0.5799999833106995
1700620116.395469,1078,0.49000000953674316
1700620125.6849527,1099,0.6499999761581421
1700620129.3552067,1110,0.7200000286102295
1700620130.0071895,1112,0.7200000286102295
1700620135.6522658,1126,0.5600000023841858
1700620139.421162,1133,0.6100000143051147
1700620146.2464762,1152,0.6499999761581421
1700620146.5581737,1153,0.7799999713897705
1700620150.5161,1165,0.550000011920929
1700620155.4849093,1175,0.800000011920929
1700620156.5617354,1177,0.699999988079071
